CEFACT Code;Engineering UnitId;Description;DisplayName
A82;4274226;Gaussian CGS (Centimetre-Gram-Second system) unit of electric potential;
A83;4274227;Gaussian CGS (Centimetre-Gram-Second system) unit of magnetization;
A84;4274228;gigacoulomb per cubic metre;GC/m³
A85;4274229;gigaelectronvolt;GeV
A86;4274230;gigahertz;GHz
A87;4274231;gigaohm;G?
A88;4274232;gigaohm metre;G?·m
A89;4274233;gigapascal;GPa
A9;16697;rate;
A90;4274480;gigawatt;GW
A91;4274481;grade;
A93;4274483;gram per cubic metre;g/m³
A94;4274484;gram per mole;g/mol
A95;4274485;gray;Gy
A96;4274486;gray per second;Gy/s
A97;4274487;hectopascal;hPa
A98;4274488;henry per metre;H/m
A99;4274489;bit;bit
AA;16705;ball;
AB;16706;bulk pack;pk
ACR;4277074;acre;acre
ACT;4277076;activity;
AD;16708;byte;byte
AE;16709;ampere per metre;A/m
AH;16712;additional minute;
AI;16713;average minute per call;
AK;16715;fathom;fth
AL;16716;access line;
AMH;4279624;ampere hour;A·h
AMP;4279632;ampere;A
ANN;4279886;year;y
APZ;4280410;troy ounce or apothecary ounce;tr oz
AQ;16721;anti-hemophilic factor (AHF) unit;
ARE;4280901;are;a
AS;16723;assortment;
ASM;4281165;alcoholic strength by mass;
ASU;4281173;alcoholic strength by volume;
ATM;4281421;standard atmosphere;atm
ATT;4281428;technical atmosphere;at
AY;16729;assembly;
AZ;16730;British thermal unit (international table) per pound;BtuIT/lb
B1;16945;barrel (US) per day;barrel (US)/d
B10;4337968;bit per second;bit/s
B11;4337969;joule per kilogram kelvin;J/(kg·K)
B12;4337970;joule per metre;J/m
B13;4337971;joule per square metre;J/m²
B14;4337972;joule per metre to the fourth power;J/m?
B15;4337973;joule per mole;J/mol
B16;4337974;joule per mole kelvin;J/(mol·K)
B17;4337975;credit;
B18;4337976;joule second;J·s
B19;4337977;digit;
B20;4338224;joule square metre per kilogram;J·m²/kg
B21;4338225;kelvin per watt;K/W
B22;4338226;kiloampere;kA
B23;4338227;kiloampere per square metre;kA/m²
B24;4338228;kiloampere per metre;kA/m
B25;4338229;kilobecquerel per kilogram;kBq/kg
B26;4338230;kilocoulomb;kC
B27;4338231;kilocoulomb per cubic metre;kC/m³
B28;4338232;kilocoulomb per square metre;kC/m²
B29;4338233;kiloelectronvolt;keV
B3;16947;batting pound;
B30;4338480;gibibit;Gibit
B31;4338481;kilogram metre per second;kg·m/s
B32;4338482;kilogram metre squared;kg·m²
B33;4338483;kilogram metre squared per second;kg·m²/s
B34;4338484;kilogram per cubic decimetre;kg/dm³
B35;4338485;kilogram per litre;kg/l
B36;4338486;calorie (thermochemical) per gram;calth/g
B37;4338487;kilogram-force;kgf
B38;4338488;kilogram-force metre;kgf·m
B39;4338489;kilogram-force metre per second;kgf·m/s
B4;16948;barrel, imperial;
B40;4338736;kilogram-force per square metre;kgf/m²
B41;4338737;kilojoule per kelvin;kJ/K
B42;4338738;kilojoule per kilogram;kJ/kg
B43;4338739;kilojoule per kilogram kelvin;kJ/(kg·K)
B44;4338740;kilojoule per mole;kJ/mol
B45;4338741;kilomole;kmol
B46;4338742;kilomole per cubic metre;kmol/m³
B47;4338743;kilonewton;kN
B48;4338744;kilonewton metre;kN·m
B49;4338745;kiloohm;k?
B50;4338992;kiloohm metre;k?·m
B51;4338993;kilopond;kp
B52;4338994;kilosecond;ks
B53;4338995;kilosiemens;kS
B54;4338996;kilosiemens per metre;kS/m
B55;4338997;kilovolt per metre;kV/m
B56;4338998;kiloweber per metre;kWb/m
B57;4338999;light year;ly
B58;4339000;litre per mole;l/mol
B59;4339001;lumen hour;lm·h
B60;4339248;lumen per square metre;lm/m²
B61;4339249;lumen per watt;lm/W
B62;4339250;lumen second;lm·s
B63;4339251;lux hour;lx·h
B64;4339252;lux second;lx·s
B65;4339253;maxwell;Mx
B66;4339254;megaampere per square metre;MA/m²
B67;4339255;megabecquerel per kilogram;MBq/kg
B68;4339256;gigabit;Gbit
B69;4339257;megacoulomb per cubic metre;MC/m³
B7;16951;cycle;
B70;4339504;megacoulomb per square metre;MC/m²
B71;4339505;megaelectronvolt;MeV
B72;4339506;megagram per cubic metre;Mg/m³
B73;4339507;meganewton;MN
B74;4339508;meganewton metre;MN·m
B75;4339509;megaohm;M?
B76;4339510;megaohm metre;M?·m
B77;4339511;megasiemens per metre;MS/m
B78;4339512;megavolt;MV
B79;4339513;megavolt per metre;MV/m
B8;16952;joule per cubic metre;J/m³
B80;4339760;gigabit per second;Gbit/s
B81;4339761;reciprocal metre squared reciprocal second;m?²/s
B82;4339762;inch per linear foot;
B83;4339763;metre to the fourth power;m?
B84;4339764;microampere;µA
B85;4339765;microbar;µbar
B86;4339766;microcoulomb;µC
B87;4339767;microcoulomb per cubic metre;µC/m³
B88;4339768;microcoulomb per square metre;µC/m²
B89;4339769;microfarad per metre;µF/m
B90;4340016;microhenry;µH
B91;4340017;microhenry per metre;µH/m
B92;4340018;micronewton;µN
B93;4340019;micronewton metre;µN·m
B94;4340020;microohm;µ?
B95;4340021;microohm metre;µ?·m
B96;4340022;micropascal;µPa
B97;4340023;microradian;µrad
B98;4340024;microsecond;µs
B99;4340025;microsiemens;µS
BAR;4342098;bar [unit of pressure];bar
BB;16962;base box;
BFT;4343380;board foot;fbm
BHP;4343888;brake horse power;BHP
BIL;4344140;billion (EUR);
BLD;4344900;dry barrel (US);bbl (US)
BLL;4344908;barrel (US);barrel (US)
BP;16976;hundred board foot;
BQL;4346188;becquerel;Bq
BTU;4346965;British thermal unit (international table);BtuIT
BUA;4347201;bushel (US);bu (US)
BUI;4347209;bushel (UK);bushel (UK)
C0;17200;call;
C10;4403504;millifarad;mF
C11;4403505;milligal;mGal
C12;4403506;milligram per metre;mg/m
C13;4403507;milligray;mGy
C14;4403508;millihenry;mH
C15;4403509;millijoule;mJ
C16;4403510;millimetre per second;mm/s
C17;4403511;millimetre squared per second;mm²/s
C18;4403512;millimole;mmol
C19;4403513;mole per kilogram;mol/kg
C20;4403760;millinewton;mN
C21;4403761;kibibit;Kibit
C22;4403762;millinewton per metre;mN/m
C23;4403763;milliohm metre;m?·m
C24;4403764;millipascal second;mPa·s
C25;4403765;milliradian;mrad
C26;4403766;millisecond;ms
C27;4403767;millisiemens;mS
C28;4403768;millisievert;mSv
C29;4403769;millitesla;mT
C3;17203;microvolt per metre;µV/m
C30;4404016;millivolt per metre;mV/m
C31;4404017;milliwatt;mW
C32;4404018;milliwatt per square metre;mW/m²
C33;4404019;milliweber;mWb
C34;4404020;mole;mol
C35;4404021;mole per cubic decimetre;mol/dm³
C36;4404022;mole per cubic metre;mol/m³
C37;4404023;kilobit;kbit
C38;4404024;mole per litre;mol/l
C39;4404025;nanoampere;nA
C40;4404272;nanocoulomb;nC
C41;4404273;nanofarad;nF
C42;4404274;nanofarad per metre;nF/m
C43;4404275;nanohenry;nH
C44;4404276;nanohenry per metre;nH/m
C45;4404277;nanometre;nm
C46;4404278;nanoohm metre;n?·m
C47;4404279;nanosecond;ns
C48;4404280;nanotesla;nT
C49;4404281;nanowatt;nW
C50;4404528;neper;Np
C51;4404529;neper per second;Np/s
C52;4404530;picometre;pm
C53;4404531;newton metre second;N·m·s
C54;4404532;newton metre squared per kilogram squared;N·m²/kg²
C55;4404533;newton per square metre;N/m²
C56;4404534;newton per square millimetre;N/mm²
C57;4404535;newton second;N·s
C58;4404536;newton second per metre;N·s/m
C59;4404537;octave;
C60;4404784;ohm centimetre;?·cm
C61;4404785;ohm metre;?·m
C62;4404786;one;1
C63;4404787;parsec;pc
C64;4404788;pascal per kelvin;Pa/K
C65;4404789;pascal second;Pa·s
C66;4404790;pascal second per cubic metre;Pa·s/m³
C67;4404791;pascal second per metre;Pa· s/m
C68;4404792;petajoule;PJ
C69;4404793;phon;
C7;17207;centipoise;cP
C70;4405040;picoampere;pA
C71;4405041;picocoulomb;pC
C72;4405042;picofarad per metre;pF/m
C73;4405043;picohenry;pH
C74;4405044;kilobit per second;kbit/s
C75;4405045;picowatt;pW
C76;4405046;picowatt per square metre;pW/m²
C78;4405048;pound-force;lbf
C79;4405049;kilovolt ampere hour;kVAh
C8;17208;millicoulomb per kilogram;mC/kg
C80;4405296;rad;rad
C81;4405297;radian;rad
C82;4405298;radian square metre per mole;rad·m²/mol
C83;4405299;radian square metre per kilogram;rad·m²/kg
C84;4405300;radian per metre;rad/m
C85;4405301;reciprocal angstrom;Å?¹
C86;4405302;reciprocal cubic metre;m?³
C87;4405303;reciprocal cubic metre per second;m?³/s
C88;4405304;reciprocal electron volt per cubic metre;eV?¹/m³
C89;4405305;reciprocal henry;H?¹
C9;17209;coil group;
C90;4405552;reciprocal joule per cubic metre;J?¹/m³
C91;4405553;reciprocal kelvin or kelvin to the power minus one;K?¹
C92;4405554;reciprocal metre;m?¹
C93;4405555;reciprocal square metre;m?²
C94;4405556;reciprocal minute;min?¹
C95;4405557;reciprocal mole;mol?¹
C96;4405558;reciprocal pascal or pascal to the power minus one;Pa?¹
C97;4405559;reciprocal second;s?¹
C99;4405561;reciprocal second per metre squared;s?¹/m²
